3_min_period,centroids,count,distances_below_threshold
1735760520,"[(232.5, 202.5), (28.0, 229.0), (107.5, 120.5), (164.5, 154.5), (146.0, 143.0), (133.0, 131.0), (91.0, 213.0), (103.0, 139.0), (115.0, 131.0), (118.5, 123.0), (54.0, 165.0), (45.0, 195.0), (80.0, 127.0), (74.5, 141.5), (232.0, 203.0), (165.0, 154.5), (28.5, 229.0), (146.5, 143.0), (91.0, 213.0), (107.5, 121.0), (133.0, 131.0), (80.0, 126.5), (94.0, 125.0), (45.0, 197.5), (74.5, 141.5), (112.0, 127.0)]",26,"[((232.5, 202.5), (232.0, 203.0), 0.7071067811865476), ((28.0, 229.0), (28.5, 229.0), 0.5), ((107.5, 120.5), (107.5, 121.0), 0.5), ((164.5, 154.5), (165.0, 154.5), 0.5), ((146.0, 143.0), (146.5, 143.0), 0.5), ((133.0, 131.0), (133.0, 131.0), 0.0), ((91.0, 213.0), (91.0, 213.0), 0.0), ((45.0, 195.0), (45.0, 197.5), 2.5), ((80.0, 127.0), (80.0, 126.5), 0.5), ((74.5, 141.5), (74.5, 141.5), 0.0)]"
1735409700,"[(263.0, 218.5), (208.0, 186.0), (89.0, 160.5), (137.0, 171.5), (33.0, 224.0), (120.5, 136.0), (164.5, 155.0), (145.5, 141.5), (82.0, 120.0), (67.0, 154.5), (59.5, 183.5), (94.5, 125.0), (121.0, 125.0), (78.0, 136.0), (262.5, 218.5), (128.5, 218.0), (208.0, 185.5), (33.0, 224.0), (146.0, 142.0), (64.0, 167.5), (164.5, 155.5), (82.0, 119.5), (126.5, 127.0), (78.0, 136.0), (113.5, 126.5)]",25,"[((263.0, 218.5), (262.5, 218.5), 0.5), ((208.0, 186.0), (208.0, 185.5), 0.5), ((33.0, 224.0), (33.0, 224.0), 0.0), ((164.5, 155.0), (164.5, 155.5), 0.5), ((145.5, 141.5), (146.0, 142.0), 0.7071067811865476), ((82.0, 120.0), (82.0, 119.5), 0.5), ((78.0, 136.0), (78.0, 136.0), 0.0)]"
1735412400,"[(262.5, 219.0), (208.0, 186.0), (131.5, 154.5), (119.5, 139.0), (90.5, 121.0), (67.0, 154.5), (165.0, 154.5), (81.5, 119.5), (95.0, 135.0), (77.5, 136.0), (59.0, 183.0), (136.0, 137.0), (124.0, 124.5), (263.0, 218.5), (208.0, 186.0), (152.5, 146.5), (67.0, 155.5), (82.0, 119.5), (59.5, 183.5), (78.5, 135.5), (174.5, 159.5), (118.5, 125.0), (90.5, 114.0), (42.5, 219.5)]",24,"[((262.5, 219.0), (263.0, 218.5), 0.7071067811865476), ((208.0, 186.0), (208.0, 186.0), 0.0), ((67.0, 154.5), (67.0, 155.5), 1.0), ((81.5, 119.5), (82.0, 119.5), 0.5), ((77.5, 136.0), (78.5, 135.5), 1.118033988749895), ((59.0, 183.0), (59.5, 183.5), 0.7071067811865476)]"
1735414920,"[(197.5, 185.5), (263.5, 219.0), (102.0, 162.0), (111.5, 204.0), (67.0, 156.0), (31.5, 232.5), (81.0, 120.5), (93.0, 130.5), (151.5, 146.0), (59.0, 182.0), (128.0, 132.0), (173.5, 159.5), (77.0, 139.5), (111.0, 131.5), (262.5, 219.0), (150.0, 145.0), (183.5, 166.5), (67.0, 155.5), (31.0, 232.5), (81.5, 120.0), (119.0, 125.0), (59.0, 183.0), (78.0, 136.0)]",23,"[((263.5, 219.0), (262.5, 219.0), 1.0), ((67.0, 156.0), (67.0, 155.5), 0.5), ((31.5, 232.5), (31.0, 232.5), 0.5), ((81.0, 120.5), (81.5, 120.0), 0.7071067811865476), ((151.5, 146.0), (150.0, 145.0), 1.8027756377319946), ((59.0, 182.0), (59.0, 183.0), 1.0)]"
1735414200,"[(263.0, 219.0), (208.0, 185.5), (168.5, 221.0), (108.5, 186.5), (102.5, 157.5), (32.0, 233.0), (81.0, 120.5), (59.5, 183.5), (157.0, 148.0), (67.0, 156.0), (77.5, 136.5), (120.0, 130.0), (109.0, 143.5), (263.0, 218.5), (208.0, 185.5), (81.5, 121.0), (31.5, 232.5), (67.0, 155.0), (59.5, 182.5), (173.5, 159.0), (119.0, 125.0), (77.5, 135.5), (153.0, 147.0)]",23,"[((263.0, 219.0), (263.0, 218.5), 0.5), ((208.0, 185.5), (208.0, 185.5), 0.0), ((32.0, 233.0), (31.5, 232.5), 0.7071067811865476), ((81.0, 120.5), (81.5, 121.0), 0.7071067811865476), ((59.5, 183.5), (59.5, 182.5), 1.0), ((67.0, 156.0), (67.0, 155.0), 1.0), ((77.5, 136.5), (77.5, 135.5), 1.0)]"
1735433280,"[(264.5, 218.5), (136.5, 168.0), (181.5, 165.5), (59.0, 187.0), (79.5, 126.0), (33.0, 233.0), (123.5, 148.0), (208.5, 187.5), (67.5, 155.5), (74.5, 134.0), (132.5, 190.5), (145.5, 141.0), (135.0, 198.5), (264.0, 218.5), (90.5, 209.0), (44.0, 218.0), (181.0, 165.5), (77.0, 138.0), (57.5, 181.5), (80.5, 123.0), (112.5, 134.0), (125.5, 156.0)]",22,"[((264.5, 218.5), (264.0, 218.5), 0.5), ((181.5, 165.5), (181.0, 165.5), 0.5)]"
1735410420,"[(263.0, 219.0), (208.0, 186.0), (34.0, 224.0), (164.5, 155.0), (82.0, 119.5), (67.0, 155.0), (59.0, 186.5), (94.5, 119.5), (119.0, 125.0), (77.5, 136.0), (144.5, 140.0), (263.0, 219.0), (208.0, 186.0), (33.5, 224.0), (146.0, 142.0), (163.5, 154.5), (93.5, 120.0), (82.0, 119.5), (67.0, 154.5), (58.5, 185.0), (119.0, 125.0), (77.5, 137.0)]",22,"[((263.0, 219.0), (263.0, 219.0), 0.0), ((208.0, 186.0), (208.0, 186.0), 0.0), ((34.0, 224.0), (33.5, 224.0), 0.5), ((164.5, 155.0), (163.5, 154.5), 1.118033988749895), ((82.0, 119.5), (82.0, 119.5), 0.0), ((67.0, 155.0), (67.0, 154.5), 0.5), ((59.0, 186.5), (58.5, 185.0), 1.5811388300841898), ((94.5, 119.5), (93.5, 120.0), 1.118033988749895), ((119.0, 125.0), (119.0, 125.0), 0.0), ((77.5, 136.0), (77.5, 137.0), 1.0), ((144.5, 140.0), (146.0, 142.0), 2.5)]"
1735410600,"[(263.5, 219.0), (208.0, 186.5), (115.5, 217.5), (33.0, 224.0), (164.5, 154.5), (67.0, 155.0), (146.0, 142.0), (82.0, 119.5), (58.5, 183.5), (77.5, 136.0), (124.0, 124.5), (263.0, 218.5), (208.0, 185.5), (33.0, 224.0), (163.5, 154.5), (145.5, 142.0), (67.0, 155.0), (88.0, 129.0), (82.5, 119.0), (57.5, 184.5), (123.5, 125.5), (75.5, 139.5)]",22,"[((263.5, 219.0), (263.0, 218.5), 0.7071067811865476), ((208.0, 186.5), (208.0, 185.5), 1.0), ((33.0, 224.0), (33.0, 224.0), 0.0), ((164.5, 154.5), (163.5, 154.5), 1.0), ((67.0, 155.0), (67.0, 155.0), 0.0), ((146.0, 142.0), (145.5, 142.0), 0.5), ((82.0, 119.5), (82.5, 119.0), 0.7071067811865476), ((58.5, 183.5), (57.5, 184.5), 1.4142135623730951), ((124.0, 124.5), (123.5, 125.5), 1.118033988749895)]"
1735410960,"[(208.0, 185.5), (262.5, 218.0), (33.5, 224.0), (146.0, 142.0), (164.5, 155.0), (67.5, 155.0), (57.0, 186.5), (77.5, 136.0), (82.0, 119.0), (139.5, 160.5), (263.5, 219.0), (208.0, 185.5), (34.0, 223.5), (146.0, 142.0), (164.0, 154.5), (116.5, 138.0), (67.0, 155.5), (59.0, 183.5), (82.0, 119.5), (77.5, 138.0), (94.0, 122.5), (94.5, 132.0)]",22,"[((208.0, 185.5), (208.0, 185.5), 0.0), ((262.5, 218.0), (263.5, 219.0), 1.4142135623730951), ((33.5, 224.0), (34.0, 223.5), 0.7071067811865476), ((146.0, 142.0), (146.0, 142.0), 0.0), ((164.5, 155.0), (164.0, 154.5), 0.7071067811865476), ((67.5, 155.0), (67.0, 155.5), 0.7071067811865476), ((77.5, 136.0), (77.5, 138.0), 2.0), ((82.0, 119.0), (82.0, 119.5), 0.5)]"
1735408980,"[(263.5, 218.5), (208.0, 185.5), (33.0, 224.0), (146.0, 142.0), (164.0, 155.0), (95.5, 125.0), (81.5, 119.5), (112.0, 133.5), (121.0, 125.0), (65.5, 153.0), (56.5, 179.5), (263.5, 218.0), (208.0, 185.0), (33.5, 224.0), (146.0, 142.0), (164.0, 155.0), (94.5, 123.0), (82.0, 119.5), (106.5, 121.5), (123.5, 125.0), (65.5, 155.5), (56.0, 180.0)]",22,"[((263.5, 218.5), (263.5, 218.0), 0.5), ((208.0, 185.5), (208.0, 185.0), 0.5), ((33.0, 224.0), (33.5, 224.0), 0.5), ((146.0, 142.0), (146.0, 142.0), 0.0), ((164.0, 155.0), (164.0, 155.0), 0.0), ((95.5, 125.0), (94.5, 123.0), 2.23606797749979), ((81.5, 119.5), (82.0, 119.5), 0.5), ((121.0, 125.0), (123.5, 125.0), 2.5), ((65.5, 153.0), (65.5, 155.5), 2.5), ((56.5, 179.5), (56.0, 180.0), 0.7071067811865476)]"
